No.;Nombre archivo;Fecha;Titular;Periodico;Fecha Periodico;URL;Derecho PPal;Otros Derechos;SubDerechos;EP
94;EN (17.09.2018) EP   2.3.4.   Trabajadores de la Asamblea Nacional protestan para exigir pago de salarios.pdf;17.09.2018;Trabajadores de la Asamblea Nacional protestan para exigir pago de salarios;EN;17/9/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-asamblea-nacional-protestan-para-exigir-pago-salarios_252023;2.3;;2.3.4;SI
95;EN  (13.11.2018)   EP   2.3.4..pdf;13.11.2018;Docentes de Mérida protestaron por mejora salarial;EN;13/11/2018;http://www.el-nacional.com/noticias/protestas/docentes-merida-protestaron-por-mejora-salarial_259560;2.3;;2.3.4;SI
96;EU   (07.10.2018)   18.  CONTEXTO.pdf;07.10.2018;ONU quiere enfocar esfuerzos regionales en protección de migrantes venezolanos;EU;7/10/2018;http://www.eluniversal.com/politica/22549/onu-quiere-enfocar-esfuerzos-regionales-en-proteccion-de-migrantes-venezolanos;18;CONTEXTO;;NO
97;EU  (11.10.2018)   1.10.1..pdf;11.10.2018;Ministro Reverol: Homicidios en Caracas han disminuido un 35,4%;EU;11/10/2018;http://www.eluniversal.com/sucesos/22959/ministro-reverol-homicidios-en-caracas-han-disminuido-un-354;1.10;;1.10.1;NO
98;EN  (18.101.2018)   12.   CONTEXTO.pdf;18.101.2018;La oposición y el chavismo disidente se unen en defensa de la Constitución;EN;18/10/2018;http://www.el-nacional.com/noticias/politica/oposicion-chavismo-disidente-unen-defensa-constitucion_256240;12;CONTEXTO;;NO
99;EN  (27.11.2018)   18.  CONTEXTO.pdf;27.11.2018;OIM y Acnur exaltaron plan de trabajo para migrantes venezolanos;EN;27/11/2018;http://www.el-nacional.com/noticias/mundo/oim-acnur-exaltaron-plan-trabajo-para-migrantes-venezolanos_261205;18;CONTEXTO;;NO
100;EN   (05.10.2018)   CONTEXTO  5..pdf;05.10.2018;CDH-UCAB: Migrantes y refugiados venezolanos son vulnerables;EN;5/10/2018;http://www.el-nacional.com/noticias/politica/cdh-ucab-migrantes-refugiados-venezolanos-son-vulnerables_254504;CONTEXTO;5;;NO
101;EN   (09.10.2018)  3.2.1.   2.1.1..pdf;09.10.2018;Aumentan la minería ilegal y el paludismo en Amazonas;EN;9/10/2018;http://www.el-nacional.com/noticias/salud/aumentan-mineria-ilegal-paludismo-amazonas_254975;3.2;2.1;3.2.1, 2.1.1;NO
102;EN  (26.09.2018)  EP  2.6.1.   Jubilados de Cantv exigen mejores condiciones por sus años de servicio.pdf;26.09.2018;Jubilados de Cantv exigen mejores condiciones por sus años de servicio;EN;26/9/2018;http://www.el-nacional.com/noticias/politica/jubilados-cantv-exigen-mejores-condiciones-por-sus-anos-servicio_253142;2.6;;2.6.1;SI
103;EN   (24.11.2018)    1.1.1.3.   1.10.1..pdf;24.11.2018;Audiencia de funcionarios del Sebin relacionados al caso Albán fue diferida;EN;24/11/2018;http://www.el-nacional.com/noticias/politica/audiencia-funcionarios-del-sebin-relacionados-caso-alban-fue-diferida_260906;1.1;1.10;1.1.1.3, 1.10.1;NO
104;EN   (17.10.2018)   CONTEXTO   18..pdf;17.10.2018;Costa Rica apoya iniciativa para investigar a Nicolás Maduro ante CPI;EN;17/10/2018;http://www.el-nacional.com/noticias/latinoamerica/costa-rica-apoya-iniciativa-para-investigar-nicolas-maduro-ante-cpi_256076;CONTEXTO;18;;NO
105;EU  (14.101.2018)   1.2.2.    1.10.1.1..pdf;14.101.2018;Lorent Saleh asegura que no está desterrado y volverá;EU;14/10/2018;http://www.eluniversal.com/politica/23117/lorent-saleh-asegura-que-no-esta-desterrado-y-volvera;1.2;1.10;1.2.2, 1.10.1.1;NO
106;EU    (10.101.2018) 1.7  EP.pdf;10.101.2018;Ordenan salida de aire del programa “Gente de Palabra”;EU;10/10/2018;http://www.eluniversal.com/el-universal/22804/ordenan-salida-de-aire-del-programa-del-programa-gente-de-palabra;1.7;;;SI
107;EN   (14.10.2018)   CONTEXTO.pdf;14.10.2018;España planteará ante la UE cambiar sanciones por diálogo con Venezuela;EN;14/10/2018;http://www.el-nacional.com/noticias/politica/espana-planteara-ante-cambiar-sanciones-por-dialogo-con-venezuela_255700;CONTEXTO;;;NO
108;EN   (22.11.2018)  2.3.4..pdf;22.11.2018;Trabajadores de Ferrominera de Guayana exigen aumento de sueldo;EN;22/11/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-ferrominera-guayana-exigen-aumento-sueldo_260707;2.3;;2.3.4;NO
109;EN  (18.09.2018)  EP  2.3.4.  Trabajadores del Metro protestaron en Chacao.pdf;18.09.2018;Trabajadores del Metro protestaron en Chacao;EN;18/9/2018;http://www.el-nacional.com/noticias/sociedad/trabajadores-del-metro-protestaron-chacao_252182;2.3;;2.3.4;SI
110;EU   (20.11.2018)   EP   2.2.1.   2.3.4..pdf;20.11.2018;Docentes, personal obrero y administrativo de Fe y Alegría protestaron para exigir salarios justos;EU;20/11/2018;http://www.eluniversal.com/politica/26236/docentes-y-personal-obrero-de-fe-y-alegria-protestaron-para-exigir-salarios-justos;2.2;2.3;2.2.1, 2.3.4;SI
111;EN   (14.10.2018)  1.2.2.    1.10.1..pdf;14.10.2018;Lorent Saleh: Cronología de un preso político;EN;14/10/2018;http://www.el-nacional.com/noticias/presos-politicos/lorent-saleh-cronologia-preso-politico_255547;1.2;1.10;1.2.2, 1.10.1;NO
112;EN  (03.10.2018)  1.2.2.    1.10.1..pdf;03.10.2018;Denuncian que el tribunal prepara un “juicio clandestino” a Requesens;EN;3/10/2018;http://www.el-nacional.com/noticias/presos-politicos/denuncian-que-tribunal-prepara-juicio-clandestino-requesens_254100;1.2;1.10;1.2.2, 1.10.1;NO
113;EN  (02.10.2018)  1.7  EP.pdf;02.10.2018;Instituto Prensa y Sociedad denunció censura de medios digitales en el país;EN;2/10/2018;http://www.el-nacional.com/noticias/politica/instituto-prensa-sociedad-denuncio-censura-medios-digitales-pais_253922;1.7;;;SI
114;EN  (05.12.2018)  2.1.1..pdf;05.12.2018;La OPS aprobó $ 5 millones para tratar el VIH y la tuberculosis;EN;5/12/2018;http://www.el-nacional.com/noticias/sociedad/ops-aprobo-millones-para-tratar-vih-tuberculosis_262146;2.1;;2.1.1;NO
115;EN   (15.10.2018)   1.2.4..pdf;15.10.2018;Confirmaron fuga de rehenes en centro penitenciario en Porlamar;EN;15/10/2018;http://www.el-nacional.com/noticias/sucesos/confirmaron-fuga-rehenes-centro-penitenciario-porlamar_255738;1.2;;1.2.4;NO
116;EN (25.09.2018)  1.10.1. 1.2.4.    287 presos se fugaron entre enero y agosto de 2018.pdf;25.09.2018;287 presos se fugaron entre enero y agosto de 2018;EN;25/9/2018;http://www.el-nacional.com/noticias/sucesos/287-presos-fugaron-entre-enero-agosto-2018_253111;1.10;1.2;1.10.1, 1.2.4;NO
117;EN  (06.10.2018)   3.2.1..pdf;06.10.2018;Basura pone en riesgo la salud de los vecinos en Maracaibo;EN;6/10/2018;http://www.el-nacional.com/noticias/sociedad/basura-pone-riesgo-salud-los-vecinos-maracaibo_254633;3.2;;3.2.1;NO
118;EN  (29.09.2018)    2.1.1..pdf;29.09.2018;Hospitales se quedan sin camas ni enfermeras;EN;29/9/2018;http://www.el-nacional.com/noticias/sociedad/hospitales-quedan-sin-camas-enfermeras_253524;2.1;;2.1.1;NO
119;EN   (13.11.2018)   EP     2.3.4..pdf;13.11.2018;A media máquina trabajarán en la morgue por mora en los pagos;EN;13/11/2018;http://www.el-nacional.com/noticias/sucesos/media-maquina-trabajaran-morgue-por-mora-los-pagos_259489;2.3;;2.3.4;SI
120;EN   (14.11.2018)    1.1.1.9..pdf;14.11.2018;“Cada cinco minutos mataban uno y no hubo enfrentamiento”;EN;14/11/2018;http://www.el-nacional.com/noticias/sucesos/cada-cinco-minutos-mataban-uno-hubo-enfrentamiento_259619;1.1;;1.1.1.9;NO
121;EN  (28.09.2018)   18.   5..pdf;28.09.2018;Ligia Bolívar: Aceptar la ayuda humanitaria está en manos del gobierno;EN;28/9/2018;http://www.el-nacional.com/noticias/politica/ligia-bolivar-aceptar-ayuda-humanitaria-esta-manos-del-gobierno_253561;18;5;;NO
122;EU (19.08.2018)  5.  1.10.1.  ONU nombra a Eduardo Stein como representante para la crisis migratoria venezolana.pdf;19.08.2018;ONU nombra a Eduardo Stein como representante para la crisis migratoria venezolana;EU;19/9/2018;http://www.eluniversal.com/politica/21100/onu-nombra-a-eduardo-stein-como-representante-para-la-crisis-migratoria-venezolana;5;1.10;1.10.1;NO
123;EN  (20.10.2018)  18.   1.10.1.1   Luisa Ortega Díaz presentará nuevas pruebas contra Maduro ante la CPI.pdf;20.10.2018;Luisa Ortega Díaz presentará nuevas pruebas contra Maduro ante la CPI;EN;20/10/2018;http://www.el-nacional.com/noticias/politica/luisa-ortega-diaz-presentara-nuevas-pruebas-contra-maduro-ante-cpi_256544;18;1.10;1.10.1.1;NO
124;EN (19.08.2018)  2.3.4.    Gobierno desmejoró las escalas salariales del sector público desde 2007.pdf;19.08.2018;Gobierno desmejoró las escalas salariales del sector público desde 2007;EN;19/9/2018;http://www.el-nacional.com/noticias/economia/gobierno-desmejoro-las-escalas-salariales-del-sector-publico-desde-2007_252283;2.3;;2.3.4;NO
125;EN  (22.10.2018)   1.2.4..pdf;22.10.2018;Cinco presos han muerto en lo que va de año en calabozos de la PNB;EN;22/10/2018;http://www.el-nacional.com/noticias/sucesos/cinco-presos-han-muerto-que-ano-calabozos-pnb_256744;1.2;;1.2.4;NO
126;EU    (23.11.2018)   CONTEXTO.pdf;23.11.2018;"Rechazan incluir Venezuela entre ""países terroristas""";EU;23/11/2018;http://www.eluniversal.com/politica/26495/rechazan-incluir-venezuela-entre-paises-terroristas;CONTEXTO;;;NO
127;EN   (23.11.2018)    EP   2.8.1..pdf;23.11.2018;Vecinos protestan en El Paraíso por falta de servicios públicos;EU;23/11/2018;http://www.eluniversal.com/politica/26523/protestan-en-el-paraiso-por-falta-de-servicios-publicos;2.8;;2.8.1;SI
128;EU   (21.11.2018)   1.2.2..pdf;21.11.2018;Trasladan a Simonovis nuevamente a su casa tras una revisión médica en el Sebin;EU;21/11/2018;http://www.eluniversal.com/politica/26313/trasladan-a-simonovis-sin-orden-judicial-a-la-sede-del-sebin-en-plaza-venezuela;1.2;;1.2.2;NO
129;EU (21.09.2018)  3.2.1.   Avanzan en el desalojo y clausura de la planta de transferencia de Las Mayas.pdf;21.09.2018;Avanzan en el desalojo y clausura de la planta de transferencia de Las Mayas;EU;21/9/2018;http://www.eluniversal.com/caracas/21266/avanzan-en-el-desalojo-y-clausura-de-la-planta-de-transferencia-de-las-mayas;3.2;;3.2.1;NO
130;EU  (04.10.2018)   18..pdf;04.10.2018;CIDH pide ir a Venezuela para evaluar situación de los derechos humanos;EU;4/10/2018;http://www.eluniversal.com/politica/22353/la-cidh-pide-ir-a-venezuela-para-evaluar-la-situacion-de-derechos-humanos;18;;;NO
131;EN   (01.12.2018)    2.1.1.   2.1.1.1..pdf;01.12.2018;95% de los hospitales carece de equipos para hacer diagnósticos;EN;1/12/2018;http://www.el-nacional.com/noticias/sociedad/los-hospitales-carece-equipos-para-hacer-diagnosticos_261602;2.1;2.1;2.1.1, 2.1.1.1;NO
132;EN  (29.09.2018)   CONTEXTO.pdf;29.09.2018;Encuesta: 60% de la población está de acuerdo con un derrocamiento militar;EN;29/9/2018;http://www.el-nacional.com/noticias/politica/encuesta-poblacion-esta-acuerdo-con-derrocamiento-militar_253680;CONTEXTO;;;NO
133;EN   (24.11.2018)   2.1.1..pdf;24.11.2018;Contaminación en el hospital precipitó muerte de dos niñas;EN;24/11/2018;http://www.el-nacional.com/noticias/sociedad/contaminacion-hospital-precipito-muerte-dos-ninas_260778;2.1;;2.1.1;NO
134;EN  (09.10.2018)   18.   1.1.1.3..pdf;09.10.2018;ONU investigará muerte de Fernando Albán;EN;9/10/2018;http://www.el-nacional.com/noticias/mundo/onu-investigara-muerte-fernando-alban_254971;18;1.1;1.1.1.3;NO
135;EN   (13.11.2018)   EP   1.3.3.    2.1.1..pdf;13.11.2018;Denuncian que directiva del HUC amenaza con armas a empleados que protestan;EN;13/11/2018;http://www.el-nacional.com/noticias/sociedad/denuncian-que-directiva-del-huc-amenaza-con-armas-empleados-que-protestan_259541;1.3;2.1;1.3.3, 2.1.1;SI
136;EN   (03.12.2018)    EP   2.10.1..pdf;03.12.2018;Habitantes de Bolívar protestaron por no recibir pernil;EN;3/12/2018;http://www.el-nacional.com/noticias/protestas/habitantes-bolivar-protestaron-por-recibir-pernil_261926;2.10;;2.10.1;SI
137;EU   (28.09.2018)    18.   5..pdf;28.09.2018;Gobierno tildó de hostil resolución del Consejo de DDHH de la ONU sobre Venezuela;EU;28/9/2018;http://www.eluniversal.com/politica/21863/gobierno-tildo-de-hostil-resolucion-del-consejo-de-ddhh-de-la-onu-sobre-venezuela;18;5;;NO
138;EN   (22.11.2018)   EP   2.3.4..pdf;22.11.2018;Empleados de Bolipuertos exigieron ajuste salarial y amenazaron con cierre;EN;22/11/2018;http://www.el-nacional.com/noticias/protestas/empleados-bolipuertos-exigieron-ajuste-salarial-amenazaron-con-cierre_260758;2.3;;2.3.4;SI
139;EN   (24.11.2018)   CONTEXTO.pdf;24.11.2018;Denuncian que el ELN ocupa áreas de Lara y Falcón;EN;24/11/2018;http://www.el-nacional.com/noticias/sucesos/denuncian-que-eln-ocupa-areas-lara-falcon_260780;CONTEXTO;;;NO
140;EN   (27.11.2018) 12.  CONTEXTO.pdf;27.11.2018;Frente Amplio inicia la lucha unitaria hacia la transición;EN;27/11/2018;http://www.el-nacional.com/noticias/politica/frente-amplio-inicia-lucha-unitaria-hacia-transicion_261210;12;CONTEXTO;;NO
141;EN  (21.10.2018)  18.  CONTEXTO.pdf;21.10.2018;“Chavismo originario” pide cambio de gobierno;EN;21/10/2018;http://www.el-nacional.com/noticias/politica/chavismo-originario-pide-cambio-gobierno_256579;18;CONTEXTO;;NO
142;EN   (02.12.2018)   2.1.1..pdf;02.12.2018;12 colegios privados han cerrado sus puertas en Nueva Esparta;EN;2/12/2018;http://www.el-nacional.com/noticias/educacion/colegios-privados-han-cerrado-sus-puertas-nueva-esparta_261655;2.1;;2.1.1;NO
143;EN (19.09.2018)  EP   2.3.4.   Enfermeros de Zulia protestaron para exigir mejoras salariales.pdf;19.09.2018;Enfermeros de Zulia protestaron para exigir mejoras salariales;EN;19/9/2018;http://www.el-nacional.com/noticias/protestas/enfermeros-zulia-protestaron-para-exigir-mejoras-salariales_252340;2.3;;2.3.4;SI
144;EN  (23.11.2018)   EP   2.3.4..pdf;23.11.2018;Docentes protestaron en Mérida para exigir mejoras salariales;EN;23/11/2018;http://www.el-nacional.com/noticias/protestas/docentes-protestaron-merida-para-exigir-mejoras-salariales_260852;2.3;;2.3.4;SI
145;EN (24.09.2018)  1.2.1.3.   2.1.1.    Denunciaron que propietario de farmacia en Amazonas tiene 30 días detenido.pdf;24.09.2018;Denunciaron que propietario de farmacia en Amazonas tiene 30 días detenido;EN;24/9/2018;http://www.el-nacional.com/noticias/sociedad/denunciaron-que-propietario-farmacia-amazonas-tiene-dias-detenido_252957;1.2;2.1;1.2.1.3, 2.1.1;NO
146;EN  (30.09.2018)  EP   2.3.4..pdf;30.09.2018;Trabajadores de Venalum exigen respeto al contrato colectivo;EN;30/9/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-venalum-exigen-respeto-contrato-colectivo_253768;2.3;;2.3.4;SI
147;EN  (17.10.2018)  3.2.1.   1.10.1..pdf;17.10.2018;Reportaron hallazgo de siete cadáveres en la mina de Tumeremo;EN;17/10/2018;http://www.el-nacional.com/noticias/sucesos/reportaron-hallazgo-siete-cadaveres-mina-tumeremo_256086;3.2;1.10;3.2.1, 1.10.1;NO
148;EN   (06.12.2018)   1.2.2.   18..pdf;06.12.2018;Lorent Saleh se reunió con Bachelet para denunciar violaciones de DD HH;EN;6/12/2018;http://www.el-nacional.com/noticias/politica/lorent-saleh-reunio-con-bachelet-para-denunciar-violaciones_262365;1.2;18;1.2.2;NO
149;EU  (08.10.2018)   1.1.1.3.    1.2.2..pdf;08.10.2018;Primero Justicia: Concejal Fernando Albán fue asesinado en la sede del Sebin;EU;8/10/2018;http://www.eluniversal.com/sucesos/22693/primero-justicia-concejal-fernando-alban-fue-asesinado-en-la-sede-del-sebin;1.1;1.2;1.1.1.3, 1.2.2;NO
150;EN  (16.10.2018)  EP    2.1.1.    2.2.1.   2.3.1.   2.10.1.  2.6.1.   2.8.1.  3.2.1..pdf;16.10.2018;Se registraron 983 protestas por derechos sociales en septiembre;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/registraron-983-protestas-por-derechos-sociales-septiembre_255843;2.1;2.2, 2.3, 2.10, 2.6, 2.8, 3.2;2.1.1, 2.2.1, 2.3.1, 2.10.1, 2.6.1, 2.8.1, 3.2.1;SI
151;EN (24.09.2018) 1.2.1.3.  EP    Cinco reporteros fueron retenidos por el Dgcim.pdf;24.09.2018;Cinco reporteros fueron retenidos por el Dgcim;EN;24/9/2018;http://www.el-nacional.com/noticias/sociedad/cinco-reporteros-fueron-retenidos-por-dgcim_253035;1.2;;1.2.1.3;SI
152;EN  (05.10.2018)  1.2.2.  1.10.1..pdf;05.10.2018;Detuvieron a concejal del municipio Libertador en Maiquetía;EN;5/10/2018;http://www.el-nacional.com/noticias/politica/detuvieron-concejal-del-municipio-libertador-maiquetia_254513;1.2;1.10;1.2.2, 1.10.1;NO
153;EU  (14.10.2018)   1.1.1.3.   1.10.1..pdf;14.10.2018;Tarek William Saab: Autopsia esclarece que Fernando Albán se suicidó;EU;14/10/2018;http://www.eluniversal.com/politica/23158/tarek-william-saab-autopsia-de-esclarece-que-se-suicido;1.1;1.10;1.1.1.3, 1.10.1;NO
154;EN  (28.09.2018)  EP   2.8.1..pdf;28.09.2018;Vecinos de Colinas del Neverí protestaron por falta de agua y aseo urbano;EN;28/9/2018;http://www.el-nacional.com/noticias/protestas/vecinos-colinas-del-neveri-protestaron-por-falta-agua-aseo-urbano_253564;2.8;;2.8.1;SI
155;EN   (18.10.2018) 2.3.1..pdf;18.10.2018;La mayoría de las empresas no se acogió al subsidio de Maduro;EN;18/10/2018;http://www.el-nacional.com/noticias/economia/mayoria-las-empresas-acogio-subsidio-maduro_256225;2.3;;2.3.1;NO
156;EN  (17.10.2018)   2.2.1..pdf;17.10.2018;Rechazaron plan estatal para formar profesores;EN;17/10/2018;http://www.el-nacional.com/noticias/educacion/rechazaron-plan-estatal-para-formar-profesores_256061;2.2;;2.2.1;NO
157;EN   (19.10.2018)  1.2.2.   1.10.1.1.pdf;19.10.2018;Teniente Carlos Esqueda llegó a Colombia tras orden de recaptura;EN;19/10/2018;http://www.el-nacional.com/noticias/politica/teniente-carlos-esqueda-llego-colombia-tras-orden-recaptura_256477;1.2;1.10;1.2.2, 1.10.1.1;NO
158;EN   (18.10.2018)   EP   2.3.4..pdf;18.10.2018;Denuncian pago incompleto del salario con fórmula semanal;EN;18/10/2018;http://www.el-nacional.com/noticias/economia/denuncian-pago-incompleto-del-salario-con-formula-semanal_256241;2.3;;2.3.4;SI
159;EN  (07.10.2018)  2.1.1..pdf;07.10.2018;Enfermedades bajo censura;EN;7/10/2018;http://www.el-nacional.com/noticias/sociedad/enfermedades-bajo-censura_254702;2.1;;2.1.1;NO
160;EN   (24.11.2018)    18.pdf;24.11.2018;Misión de la OEA vio en la frontera el desespero de familias venezolanas;EN;24/11/2018;http://www.el-nacional.com/noticias/mundo/mision-oea-vio-frontera-desespero-familias-venezolanas_260523;18;;;NO
161;EN   (04.10.2018)   1.2.2.   5.   18..pdf;04.10.2018;Foro Penal: 12.480 personas han sido detenidas desde 2014;EN;4/10/2018;http://www.el-nacional.com/noticias/politica/foro-penal-12480-personas-han-sido-detenidas-desde-2014_254337;1.2;5, 18;1.2.2;NO
162;EU  (11.10.2018)   1.1.1.9..pdf;11.10.2018;Muere niño de 12 años por una bala perdida en la avenida Bolívar;EU;11/10/2018;http://www.eluniversal.com/sucesos/22912/muere-nino-de-12-anos-por-una-bala-perdida-en-la-avenida-bolivar;1.1;;1.1.1.9;NO
163;EN (24.09.2018) 1.2.1.3.  EP  Liberaron al periodista Isnardo Bravo.pdf;24.09.2018;Liberaron al periodista Isnardo Bravo;EN;24/9/2018;http://www.el-nacional.com/noticias/sociedad/liberaron-periodista-isnardo-bravo_253038;1.2;;1.2.1.3;SI
164;EN   (05.10.2018)   1.2.2.  5.  18..pdf;05.10.2018;Familiares de Requesens rechazaron publicación de fotos del diputado;EN;5/10/2018;http://www.el-nacional.com/noticias/politica/familiares-requesens-rechazaron-publicacion-fotos-del-diputado_254568;1.2;5, 18;1.2.2;NO
165;EN   (21.11.2018)   5.    2.10.1..pdf;21.11.2018;La venezolana Susana Raffalli fue premiada por su labor en derechos humanos;EN;21/11/2018;http://www.el-nacional.com/noticias/mundo/venezolana-susana-raffalli-fue-premiada-por-labor-derechos-humanos_260569;5;2.10;2.10.1;NO
166;EN   (15.11.2018)   12.   2.2.1.1..pdf;15.11.2018;Elecciones UC: denuncian polémico nombramiento de nueva comisión electoral;EN;15/11/2018;http://www.el-nacional.com/noticias/politica/elecciones-denuncian-polemico-nombramiento-nueva-comision-electoral_259722;12;2.2;2.2.1.1;NO
167;EN   (10.10.2018)   EP   2.3.4.   2.8.1.  Protestan en Táchira contra el gobierno de Nicolás Maduro.pdf;10.10.2018;Protestan en Táchira contra el gobierno de Nicolás Maduro;EN;10/10/2018;http://www.el-nacional.com/noticias/protestas/protestaron-tachira-contra-gobierno-nicolas-maduro_255204;2.3;2.8;2.3.4, 2.8.1;SI
168;EN   (15.11.2018)   1.3.4.  17..pdf;15.11.2018;De Grazia: Esta amenaza me genera zozobra por lo que me pueda ocurrir;EN;15/11/2018;http://www.el-nacional.com/noticias/oposicion/grazia-esta-amenaza-genera-zozobra-por-que-pueda-ocurrir_259810;1.3;17;1.3.4;NO
169;EN  (28.09.2018)  1.2.4.   2.1.1.  18.pdf;28.09.2018;CIDH solicitó al Estado venezolano informar sobre presos con tuberculosis;EN;28/9/2018;http://www.el-nacional.com/noticias/mundo/cidh-solicito-estado-venezolano-informar-sobre-presos-con-tuberculosis_253610;1.2;2.1, 18;1.2.4, 2.1.1;NO
170;EN  (02.10.2018)  2.2.1.1..pdf;02.10.2018;Maestros declararon en emergencia al sector educativo;EN;2/10/2018;http://www.el-nacional.com/noticias/protestas/maestros-declararon-emergencia-sector-educativo_253866;2.2;;2.2.1.1;NO
171;EN (18.09.2018)  EP  2.3.4.    Protestan en la Universidad de los Llanos en rechazo a las nuevas tablas salariales.pdf;18.09.2018;Protestan en la Universidad de los Llanos en rechazo a las nuevas tablas salariales;EU;18/9/2018;http://www.eluniversal.com/venezuela/20999/protestan-en-la-universidad-de-los-llanos-en-rechazo-a-las-nuevas-tablas-salariales;2.3;;2.3.4;SI
172;EU  (03.10.2018)   3.2.1..pdf;03.10.2018;Vecinos en los Ruices denuncian insalubridad ante falta de recolección de basura;EU;3/10/2018;http://www.eluniversal.com/caracas/22188/vecinos-en-los-ruices-denuncian-insalubridad-ante-falta-de-recoleccion-de-basura;3.2;;3.2.1;NO
173;EN   (19.101.2018)    2.1.1..pdf;19.101.2018;Venezolanos con VIH que emigran a Colombia no pueden costear sus medicinas;EN;19/10/2018;http://www.el-nacional.com/noticias/salud/venezolanos-con-vih-que-emigran-colombia-pueden-costear-sus-medicinas_256464;2.1;;2.1.1;NO
174;EN    (19.11.2018)   EP    2.8.1.   Habitantes de Barquisimeto protestan por deficiencia de servicios públicos.pdf;19.11.2018;Habitantes de Barquisimeto protestan por deficiencia de servicios públicos;EN;20/11/2018;http://www.el-nacional.com/noticias/protestas/habitantes-barquisimeto-protestan-por-deficiencia-servicios-publicos_260283;2.8;;2.8.1;SI
175;EN   (19.10.2018)   1.3.4..pdf;19.10.2018;Sebin intentó allanar la residencia de Saverio Vivas en Catia;EN;19/10/2018;http://www.el-nacional.com/noticias/politica/sebin-intento-allanar-residencia-saverio-vivas-catia_256442;1.3;;1.3.4;NO
176;EN   (14.10.2018)  2.9.1.  2.10.1.     2.1.1.   Indígenas en la Sierra de Perijá mueren por falta de medicinas y alimentos.pdf;14.10.2018;Indígenas en la Sierra de Perijá mueren por falta de medicinas y alimentos;EN;14/10/2018;http://www.el-nacional.com/noticias/sociedad/indigenas-sierra-perija-mueren-por-falta-medicinas-alimentos_255489;2.9;2.10, 2.1;2.9.1, 2.10.1, 2.1.1;NO
177;EN  (17.10.2018)  CONTEXTO.pdf;17.10.2018;ELN y disidencias de la FARC intentan reclutar venezolanos;EN;17/10/2018;http://www.el-nacional.com/noticias/latinoamerica/eln-disidencias-farc-intentan-reclutar-venezolanos_256059;CONTEXTO;;;NO
178;EN   (16.101.2018)   EP   2.3.4..pdf;16.101.2018;Jubilados y pensionados de la Cantv protestan por tablas salariales;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/jubilados-pensionados-cantv-protestan-por-tablas-salariales_255950;2.3;;2.3.4;SI
179;EN (16.09.2018)  CONTEXTO    ¿Maduro censura el mensaje del papa Francisco_.pdf;16.09.2018;¿Maduro censura el mensaje del papa Francisco?;EN;16/9/2018;http://www.el-nacional.com/noticias/iglesia/maduro-censura-mensaje-del-papa-francisco_251957;CONTEXTO;;;NO
180;EU (21.09.2018) EP   1.3.4     Sujeto armado amenazó a periodistas que cubrían protesta frente al Ministerio de Educación.pdf;21.09.2018;Sujeto armado amenazó a periodistas que cubrían protesta frente al Ministerio de Educación;EU;21/9/2018;http://www.eluniversal.com/politica/21257/sujeto-armado-amenaza-a-periodistas-que-cubrian-protesta-frente-al-ministerio-de-educacion;1.3;;1.3.4;SI
181;EN (01.10.2018)   EP    2.3.4..pdf;01.10.2018;Trabajadores protestan en Guayana por mejoras salariales;EN;1/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-protestan-guayana-por-mejoras-salariales_253815;2.3;;2.3.4;SI
182;EN  (29.11.2018)   1.10.2 CONTEXTO.pdf;29.11.2018;Ortega Díaz: María Gabriela Chávez está involucrada en caso Andrade;EN;28/11/2018;http://www.el-nacional.com/noticias/politica/ortega-diaz-maria-gabriela-chavez-esta-involucrada-caso-andrade_261440;1.10;CONTEXTO;1.10.2;NO
183;EU  (01.10.2018)  CONTEXTO.pdf;01.10.2018;"Acnur pidió más ""coherencia regional"" ante el éxodo de venezolanos";EU;1/10/2018;http://www.eluniversal.com/politica/22015/acnur-pide-mas-coherencia-regional-ante-el-exodo-de-venezolanos;CONTEXTO;;;NO
184;EN   (15.11.2018)     EP  5..pdf;15.11.2018;OVCS: En octubre se registraron 1.418 protestas en el país;EN;15/11/2018;http://www.el-nacional.com/noticias/sociedad/ovcs-octubre-registraron-1418-protestas-pais_259710;5;;;SI
185;EN  (07.10.2018)  18.  CONTEXTO.pdf;07.10.2018;Comisionado de la Acnur llegó a Colombia para ayudar a los venezolanos;EN;7/10/2018;http://www.el-nacional.com/noticias/mundo/comisionado-acnur-llego-colombia-para-ayudar-los-venezolanos_254722;18;CONTEXTO;;NO
186;EN   (18.10.2018)   3.2.1..pdf;18.10.2018;San Bernardino, belleza arquitectónica afectada por el exceso de basura;EN;18/10/2018;http://www.el-nacional.com/noticias/sociedad/san-bernardino-belleza-arquitectonica-afectada-por-exceso-basura_256043;3.2;;3.2.1;NO
187;EN  (02.12.2018)   1.2.2.  1.3.1.   2.3.3..pdf;02.12.2018;Denuncian que Rubén González fue torturado en La Pica;EN;2/12/2018;http://www.el-nacional.com/noticias/presos-politicos/denuncian-que-ruben-gonzalez-fue-torturado-pica_261811;1.2;1.3, 2.3;1.2.2, 1.3.1, 2.3.3;NO
